Id;F_wh;C_wh;F_coord;C_coord
15592;160676;107240;48.181267,42.519086;47.199631,39.696202
15593;160676;92413;48.181267,42.519086;47.122418,39.381765
15596;160676;93246;48.181267,42.519086;44.737545,37.777481
18207;202611;170325;54.056017,80.785296;50.629961,38.688095
18210;202611;130693;54.056017,80.785296;50.810427,42.013945
18211;202611;107375;54.056017,80.785296;51.646952508489,39.472849409693
18212;202611;107240;54.056017,80.785296;47.199631,39.696202
18213;202611;107241;54.056017,80.785296;51.48596,40.42638
18214;202611;107242;54.056017,80.785296;50.970211,39.565488
18215;202611;107243;54.056017,80.785296;45.027463,39.009871
18216;202611;107244;54.056017,80.785296;44.624668,40.733648
18217;202611;97863;54.056017,80.785296;44.987883,41.083902
18218;202611;173802;54.056017,80.785296;47.234512,39.743858
18219;202611;170324;54.056017,80.785296;50.987298,39.497099
18225;202611;92413;54.056017,80.785296;47.122418,39.381765
18226;202611;93246;54.056017,80.785296;44.737545,37.777481
18251;202611;93873;54.056017,80.785296;46.347869,48.033574
18253;202611;12642;54.056017,80.785296;44.733885899794,37.78393165145
18402;204781;170325;69.351032419591,88.202377629639;50.629961,38.688095
18404;204781;130693;69.351032419591,88.202377629639;50.810427,42.013945
18405;204781;107375;69.351032419591,88.202377629639;51.646952508489,39.472849409693
18406;204781;107240;69.351032419591,88.202377629639;47.199631,39.696202
18407;204781;107241;69.351032419591,88.202377629639;51.48596,40.42638
18408;204781;107242;69.351032419591,88.202377629639;50.970211,39.565488
18409;204781;107243;69.351032419591,88.202377629639;45.027463,39.009871
18410;204781;107244;69.351032419591,88.202377629639;44.624668,40.733648
18411;204781;97863;69.351032419591,88.202377629639;44.987883,41.083902
18412;204781;173802;69.351032419591,88.202377629639;47.234512,39.743858
18413;204781;170324;69.351032419591,88.202377629639;50.987298,39.497099
18415;204781;92413;69.351032419591,88.202377629639;47.122418,39.381765
18416;204781;93246;69.351032419591,88.202377629639;44.737545,37.777481
18444;204781;93873;69.351032419591,88.202377629639;46.347869,48.033574
18446;204781;12642;69.351032419591,88.202377629639;44.733885899794,37.78393165145
19380;204781;18177;69.351032419591,88.202377629639;51.350031,39.298653
19390;202611;18177;54.056017,80.785296;51.350031,39.298653
20315;204781;175735;69.351032419591,88.202377629639;53.212091,39.44709
20323;202611;175735;54.056017,80.785296;53.212091,39.44709
20418;204781;175723;69.351032419591,88.202377629639;51.656758,38.893369
20427;202611;175723;54.056017,80.785296;51.656758,38.893369
20558;204781;224813;69.351032419591,88.202377629639;47.187697,39.642806
20566;202611;224813;54.056017,80.785296;47.187697,39.642806
21215;204781;230873;69.351032419591,88.202377629639;49.05233577425,44.83367674177
21223;202611;230873;54.056017,80.785296;49.05233577425,44.83367674177
21611;204781;218553;69.351032419591,88.202377629639;51.883951,45.003197
21620;202611;218553;54.056017,80.785296;51.883951,45.003197
21887;204781;235435;69.351032419591,88.202377629639;48.903363,40.363884
21895;202611;235435;54.056017,80.785296;48.903363,40.363884
26285;204781;262978;69.351032419591,88.202377629639;44.723912,37.768974
26293;202611;262978;54.056017,80.785296;44.723912,37.768974
27599;204781;262979;69.351032419591,88.202377629639;47.112442,39.423581
27607;202611;262979;54.056017,80.785296;47.112442,39.423581
29161;204781;297671;69.351032419591,88.202377629639;44.70312,37.776718
29169;202611;297671;54.056017,80.785296;44.70312,37.776718
29314;204781;92414;69.351032419591,88.202377629639;47.209549,39.71769
29324;202611;92414;54.056017,80.785296;47.209549,39.71769
29675;204781;302609;69.351032419591,88.202377629639;44.738025,37.774813
29683;202611;302609;54.056017,80.785296;44.738025,37.774813
29786;204781;302608;69.351032419591,88.202377629639;47.121063,39.380956
29795;202611;302608;54.056017,80.785296;47.121063,39.380956
30330;204781;309258;69.351032419591,88.202377629639;49.189207,44.076513
